transaction_id,is_fraud,anomaly_score,is_first_tx_trimestre,lgbm_score,ensemble_boost,ensemble_weighted,pred_or_if0.70,pred_or_if0.80,pred_or_if0.85,pred_or_if0.90,pred_or_if0.95
E0000020820260221193058291780542,0,0.6831525524927854,0,1.375e-05,1.375e-05,0.17079845062319635,0,0,0,0,0
E0000020820260221193142195825525,0,0.39924370584137725,1,1.82e-06,1.82e-06,0.09981229146034432,0,0,0,0,0
E0000020820260221193304897281525,0,0.3793412279828839,1,1.37e-06,1.37e-06,0.09483633449572097,0,0,0,0,0
E0000020820260221193254948183525,0,0.9467608717285302,0,0.00012492,0.15012492,0.23678390793213255,1,1,1,1,0
E0000020820260221193320101366525,0,0.6905164693004279,0,3.6e-07,3.6e-07,0.17262938732510696,0,0,0,0,0
E0000020820260221193349662956542,0,0.9472584336749925,1,0.00153909,0.15153909,0.23796892591874813,1,1,1,1,0
E0000020820260221193446182941542,0,0.363817295253259,1,3.26e-06,3.26e-06,0.09095676881331476,0,0,0,0,0
E0000020820260221193551014563542,0,0.06110060702557468,1,1.174e-05,1.174e-05,0.015283956756393671,0,0,0,0,0
E0000020820260221193633612336542,0,0.08896407602746542,1,1.09e-06,1.09e-06,0.022241836506866355,0,0,0,0,0
E0000020820260221193837535466542,0,0.18688426709125286,0,1e-06,1e-06,0.046721816772813216,0,0,0,0,0
E0000020820260221193906312941525,0,0.7206687232560454,1,4.8e-06,0.0800048,0.18017078081401133,1,0,0,0,0
E0000020820260221193950690282525,0,0.5602547517165887,1,2.35e-06,2.35e-06,0.14006545042914717,0,0,0,0,0
E0000020820260221193936243903525,0,0.7754005373669022,1,6.39e-06,0.08000639,0.19385492684172553,1,0,0,0,0
E0000020820260221193954634603525,0,0.6805652303711812,1,1.536e-05,1.536e-05,0.1701528275927953,0,0,0,0,0
E0000020820260221194000677497542,0,0.870832918698378,0,4.955e-05,0.15004955,0.2177453921745945,1,1,1,0,0
E0000020820260221193955062988542,0,0.44312866951935515,1,3.6e-06,3.6e-06,0.11078486737983878,0,0,0,0,0
E0000020820260221193945552999525,0,0.8583938700368196,1,0.00050879,0.15050879,0.2149800600092049,1,1,1,0,0
E0000020820260221194105060410525,0,0.46123992437058414,1,2.58e-06,2.58e-06,0.11531191609264603,0,0,0,0,0
E0000020820260221194235257444542,0,0.07881381231963379,1,7.95e-06,7.95e-06,0.01970941557990845,0,0,0,0,0
E0000020820260221194240902940542,0,0.07214648223703851,1,4.11e-06,4.11e-06,0.01803970305925963,0,0,0,0,0
E0000020820260221194245295492525,0,0.768335157727137,1,6.7e-07,0.08000067,0.19208429193178425,1,0,0,0,0
E0000020820260221194458859360525,0,0.04348691412080804,0,1.6e-06,1.6e-06,0.01087292853020201,0,0,0,0,0
E0000020820260221194600716260525,0,0.7475370683650114,0,2.69e-06,0.08000269,0.18688628459125287,1,0,0,0,0
E0000020820260221194720891224525,0,0.7766941984277043,1,4.82e-06,0.08000482,0.19417716460692608,1,0,0,0,0
E0000020820260221194852915119525,0,0.8425714001393173,1,1.97e-06,0.08000197,0.21064432753482934,1,1,0,0,0
E0000020820260221194855470970542,0,0.28530202010150263,0,1.77e-06,1.77e-06,0.07132683252537565,0,0,0,0,0
E0000020820260221195007672710525,0,0.38202806249378046,1,1.29e-06,1.29e-06,0.09550798312344512,0,0,0,0,0
E0000020820260221195037129174525,0,0.7610707533087869,1,2.353e-05,0.08002353,0.19028533582719673,1,0,0,0,0
E0000020820260221195034358716542,0,0.3984476067270375,1,5.35e-06,5.35e-06,0.09961591418175937,0,0,0,0,0
E0000020820260221195122628455542,0,0.21136431485719973,1,4.41e-06,4.41e-06,0.05284438621429993,0,0,0,0,0
E0000020820260221195324938771525,0,0.9746243407304209,1,3.08e-06,0.15000307999999998,0.24365839518260524,1,1,1,1,1
E0000020820260221195341248736542,0,0.637277341028958,1,0.00021517,0.00021517,0.15948071275723952,0,0,0,0,0
