transaction_id,is_fraud,se_score,n_patterns,patterns,score_fraude,pred_lgbm,pred_combined
E0000000020260303142541707348879,0,0.0,0,,1.662013859589678e-06,0,0
E0000000020260305224547528955682,0,0.0,0,,6.666050059962599e-07,0,0
E0000020820260221193058291780542,0,0.0,0,,4.738525128145186e-06,0,0
E0000020820260221193142195825525,0,0.0,0,,5.5569056370014e-07,0,0
E0000020820260221193254948183525,0,0.0,0,,5.159604638630112e-06,0,0
E0000020820260221193304897281525,0,0.0,0,,4.359212613740849e-07,0,0
E0000020820260221193320101366525,0,0.0,0,,7.631309598362567e-07,0,0
E0000020820260221193349662956542,0,0.0,0,,2.463801762306844e-05,0,0
E0000020820260221193446182941542,0,0.0,0,,8.036355578458423e-08,0,0
E0000020820260221193551014563542,0,0.0,0,,2.895265918385353e-07,0,0
E0000020820260221193633612336542,0,0.0,0,,1.0604202573800106e-07,0,0
E0000020820260221193837535466542,0,0.0,0,,1.294608015253735e-06,0,0
E0000020820260221193906312941525,0,0.0,0,,6.656171210191465e-07,0,0
E0000020820260221193936243903525,0,0.0,0,,9.502750050484096e-07,0,0
E0000020820260221193945552999525,0,0.0,0,,5.70242683721595e-07,0,0
E0000020820260221193950690282525,0,0.0,0,,1.316157223033756e-06,0,0
E0000020820260221193954634603525,0,0.0,0,,7.553560892118005e-06,0,0
E0000020820260221193955062988542,0,0.0,0,,1.468589092791746e-05,0,0
E0000020820260221194000677497542,0,0.0,0,,3.84808483015199e-07,0,0
E0000020820260221194105060410525,0,0.0,0,,8.514858161401125e-08,0,0
E0000020820260221194235257444542,0,0.0,0,,1.9452171721922786e-07,0,0
E0000020820260221194240902940542,0,0.0,0,,2.9509679806729e-07,0,0
E0000020820260221194245295492525,0,0.0,0,,6.300550673453054e-07,0,0
E0000020820260221194458859360525,0,0.0,0,,3.5360088015900217e-06,0,0
E0000020820260221194600716260525,0,0.0,0,,2.167825672185661e-05,0,0
E0000020820260221194720891224525,0,0.0,0,,4.5018784412063597e-07,0,0
E0000020820260221194852915119525,0,0.0,0,,1.8256927607116521e-07,0,0
E0000020820260221194855470970542,0,0.0,0,,2.3360209265985065e-07,0,0
E0000020820260221195007672710525,0,0.0,0,,4.4277289225822725e-07,0,0
E0000020820260221195034358716542,0,0.0,0,,2.542143377265269e-07,0,0
E0000020820260221195037129174525,0,0.0,0,,8.231838296523215e-07,0,0
E0000020820260221195122628455542,0,0.0,0,,2.7567284193374844e-07,0,0
