y_true,lgbm_raw_score,lgbm_pred,cascade_triggered,cascade_rules,if_score,if_raw,if_active,if_boost,ensemble_raw,score_mapped,decision,detected_by,vl_pix,nr_idade,qt_tempo_relacionamento_mes,qt_total_pix_trimestre,vl_mediana_pix_trimestre,ratio_valor_mediana,tx_count_prev_30m,burst_30m_flag,first_receiver_flag,pix_key_random_flag,topaz_score_filled,hour,rule_score_raw,is_first_tx_trimestre,distinct_receivers_so_far,pix_key_email_flag,pix_key_document_flag,vl_renda_cliente,ratio_pix_renda
0,0.0002202882961523837,0,False,,0.6870706205277104,0.15304163684093552,True,0.0,0.0002202882961523837,2.2,APROVAR,APROVAR,105.0,38,143,60,29.53,3.5557060616322382,0,0,1,0,0.0,22,3,0,1,1,0,2000.0,0.0525
0,0.00022259023861903888,0,False,,0.17874879020102497,0.17323607133966695,True,0.0,0.00022259023861903888,2.23,APROVAR,APROVAR,100.0,30,52,131,79.0,1.2658227848101269,0,0,1,1,0.0,18,6,0,1,0,0,0.0,0.0356665401429214
0,0.00022346568171649614,0,False,,0.9912259825154299,0.028632971530262064,True,0.05,0.0502234656817165,50.11,APROVAR,APROVAR,13.8,29,59,1766,10.08,1.369047619047619,0,0,0,1,0.0,14,4,0,3,0,0,0.0,0.0356665401429214
0,0.0002385282072755889,0,False,,0.7792533358719279,0.1453067015317021,True,0.0,0.0002385282072755889,2.39,APROVAR,APROVAR,235.48,44,138,62,89.9,2.619354838709677,0,0,1,1,26.0,17,7,0,1,0,0,0.01,23548.0
0,0.00026535716255872313,0,False,,0.9489107842670601,0.10468938315784232,True,0.0,0.00026535716255872313,2.65,APROVAR,APROVAR,1219.19,46,256,113,100.0,12.1919,0,0,1,0,26.0,18,6,0,1,1,0,1691.97,0.7205742418600802
0,0.00026872812307471175,0,False,,0.9793580528979644,0.06859014961476706,True,0.0,0.00026872812307471175,2.69,APROVAR,APROVAR,500.0,59,88,39,500.0,1.0,0,0,1,0,50.0,3,7,0,1,0,1,0.0,0.0356665401429214
0,0.0002480753404375588,0,False,,0.5919526552112586,0.15882720202017686,True,0.0,0.0002480753404375588,2.48,APROVAR,APROVAR,80.0,47,362,95,89.0,0.898876404494382,0,0,1,0,0.0,17,2,0,1,0,1,0.0,0.0356665401429214
0,0.00022346568171649614,0,False,,0.6339029304901074,0.15651643148300493,True,0.0,0.00022346568171649614,2.23,APROVAR,APROVAR,7.5,29,100,504,19.75,0.379746835443038,0,0,1,1,0.0,18,4,0,2,0,0,0.0,0.0356665401429214
0,0.00023609604181028414,0,False,,0.7700985292017707,0.14620397162724652,True,0.0,0.00023609604181028414,2.36,APROVAR,APROVAR,75.0,65,309,45,39.37,1.90500381000762,0,0,1,0,0.0,17,3,0,1,0,0,7958.15,0.0094243008739468
0,0.15900785260376205,1,False,,0.0,0.0,False,0.0,0.15900785260376205,62.61,CONFIRMAR,CONFIRMAR,5.0,40,54,1,5.0,1.0,0,0,1,1,0.0,6,6,1,1,0,0,0.0,0.0356665401429214
