class,score,is_first_tx
0,0.27982152181136377,0
0,0.7545292004873341,0
0,0.5125868261578139,0
0,0.298049081501875,0
0,0.9562348697014288,0
0,0.9407287859369314,0
0,0.7511115330453632,0
0,0.4177149095742156,0
0,0.6939763611335263,0
0,0.1775921267068559,0
0,0.43785699593360866,0
0,0.7757472191895698,0
0,0.570813752946947,0
0,0.9762029081818325,0
0,0.6256863024319236,0
0,0.4498504770494138,0
0,0.9782598376607965,0
0,0.8546541985095173,0
0,0.7863483172734609,0
0,0.5235993101374978,0
0,0.81720225945792,0
0,0.671460894606098,0
0,0.8031202037942438,0
0,0.9260929415673803,0
0,0.14567807471400768,0
0,0.9927374566858119,0
0,0.632933023211658,0
0,0.759592411512476,0
0,0.8928656192148858,0
0,0.5198177244030949,0
0,0.9402541099033244,0
0,0.45062578123763863,0
0,0.5875539943988228,0
0,0.4288223287606209,0
0,0.6026328697330738,0
0,0.5604025252764988,0
0,0.9704435056407336,0
0,0.7912374804196136,0
0,0.7449723896773786,0
0,0.8606192939985127,0
0,0.6118415847850509,0
0,0.9799844939162355,0
0,0.3566241040489866,0
0,0.5707029952057721,0
0,0.6683596778531985,0
0,0.8532301704086961,0
0,0.1272289995411465,0
0,0.5357193715289315,0
0,0.9623265454660528,0
0,0.9600164554358317,0
0,0.5784876821569279,0
0,0.9634341228778026,0
0,0.2330817550355216,0
0,0.4489802376544675,0
0,0.9633550102055347,0
0,0.9478805715099444,0
0,0.5006408126453695,0
0,0.1659467413490293,0
0,0.22646793563392983,0
0,0.745320485435357,0
0,0.3041565798009525,0
0,0.26222686349899527,0
0,0.4298666160345564,0
0,0.8489106185028717,0
0,0.9136564294868752,0
0,0.34994699450958056,0
0,0.25279663296466826,0
0,0.23339820572459297,0
0,0.42652806126485343,0
0,0.3506748310944447,0
0,0.9934178256673154,0
0,0.4420657900982579,0
0,0.12781443331592854,0
0,0.56586129966298,0
0,0.9314567807471401,0
0,0.8276451321972753,0
0,0.9485767630259014,0
0,0.9603961962627173,0
0,0.9615354187433743,0
0,0.9928482144269869,0
0,0.5293745352130504,0
0,0.44165440420246516,0
0,0.6159870888118859,0
0,0.5016692773848515,0
0,0.8082150598882929,0
0,0.6686919510767235,0
0,0.43295201025300234,0
0,0.8341956614610528,0
0,0.34955143114824133,0
0,0.9345738200344931,0
0,0.7976614294077625,0
0,0.9448268223604057,0
0,0.8043701840160757,0
0,0.7285011313112134,0
0,0.8897644024619864,0
0,0.8266483125267006,0
0,0.18227559690511225,0
0,0.6275533614974447,0
0,0.7361434154522871,0
0,0.467271087482793,0
0,0.8243698675653867,0
0,0.6972041581620544,0
0,0.9521210107435009,0
0,0.33140298412999797,0
0,0.38008892264362903,0
0,0.2324172085884717,0
0,0.620718026613503,0
0,0.4528251135266847,0
0,0.9089413142197117,0
0,0.7567918229141944,0
0,0.6393886172687141,0
0,0.4797867122355659,0
0,0.35776332652964354,0
0,0.24892011202354394,0
0,0.5554184269236246,0
0,0.7196405120172149,0
0,0.5409566304330627,0
0,0.9554912105821111,0
0,0.6033448837834844,0
0,0.6187560323412604,0
0,0.9950159016471258,0
0,0.9668201452508662,0
0,0.5960506954003892,0
0,0.9514089966930903,0
0,0.8775335833293777,0
0,0.366513188082467,0
0,0.9680701254726982,0
0,0.16876315248176452,0
0,0.9417256056075062,0
0,0.6853530798563314,0
0,0.8965364472081138,0
0,0.6906694514327305,0
0,0.7320928466321736,0
0,0.8784038227243239,0
0,0.9580702836980427,0
0,0.6630749513457066,0
0,0.9853799781649024,0
0,0.908640686065094,0
0,0.5623012294109271,0
0,0.9085615733928261,0
0,0.9692409930222623,0
0,0.44149617885792947,0
0,0.8707773611177039,0
0,0.7815066217306689,0
0,0.9719466464138226,0
0,0.6190724830303318,0
0,0.8944162275913355,0
0,0.6857802882865778,0
0,0.546526162560719,0
0,0.8225977437065869,0
