transaction_id,is_fraud,anomaly_score,is_first_tx_trimestre,lgbm_score,ensemble_conditional,if_active,if_weight,ensemble_boost_cond
E0000020820260212132919818884525,0,0.5239154616240267,0,1.0878665270045556e-06,1.0878665270045556e-06,0,0.0,1.0878665270045556e-06
E0000020820260212133034231625525,0,0.19948090470893584,0,2.3689162443535223e-06,2.3689162443535223e-06,0,0.0,2.3689162443535223e-06
E0000020820260212133208733115525,0,0.7345198368557657,0,2.939138644947941e-06,2.939138644947941e-06,0,0.0,2.939138644947941e-06
E0000020820260212133231150741525,1,0.8731924360400445,1,0.993116073166876,0.993116073166876,0,0.0,0.993116073166876
E0000020820260212133302129783525,0,0.5187245087133853,0,7.517718440133252e-07,7.517718440133252e-07,0,0.0,7.517718440133252e-07
E0000020820260212133257879831525,0,0.040415276232851315,0,1.8002193588667191e-06,1.8002193588667191e-06,0,0.0,1.8002193588667191e-06
E0000020820260212133546196178525,0,0.8020022246941045,0,3.2720056478042963e-06,3.2720056478042963e-06,0,0.0,3.2720056478042963e-06
E0000020820260212134012163717525,0,0.007415647015202077,0,8.81311104641915e-07,8.81311104641915e-07,0,0.0,8.81311104641915e-07
E0000020820260212134044889518525,0,0.9058212829069336,0,7.686729985451318e-07,7.686729985451318e-07,0,0.0,7.686729985451318e-07
E0000020820260212134114642652525,0,0.19021134593993325,0,1.8635603325955371e-06,1.8635603325955371e-06,0,0.0,1.8635603325955371e-06
E0000020820260212134110701452525,0,0.1472005932517612,0,1.29255420058927e-06,1.29255420058927e-06,0,0.0,1.29255420058927e-06
E0000020820260212134124958109525,0,0.28846866889136075,0,2.5975203288402056e-06,2.5975203288402056e-06,0,0.0,2.5975203288402056e-06
E0000020820260212134224440321525,0,0.4783092324805339,0,1.940911438330343e-06,1.940911438330343e-06,0,0.0,1.940911438330343e-06
E0000020820260212134252707235525,0,0.5888023730070449,0,1.6933018811672935e-05,1.6933018811672935e-05,0,0.0,1.6933018811672935e-05
E0000020820260212134401763287525,0,0.6659251019651464,0,5.785898189575492e-07,5.785898189575492e-07,0,0.0,5.785898189575492e-07
E0000020820260212134516790889525,0,0.378568780126066,0,2.1442917814166734e-06,2.1442917814166734e-06,0,0.0,2.1442917814166734e-06
E0000020820260212134549942251525,0,0.2910641453466815,0,1.1039406225855072e-06,1.1039406225855072e-06,0,0.0,1.1039406225855072e-06
E0000020820260212134544973971525,0,0.16203188728216536,0,1.7063033704285483e-06,1.7063033704285483e-06,0,0.0,1.7063033704285483e-06
E0000020820260212134758545705525,0,0.5617352614015573,0,1.5531644015267494e-06,1.5531644015267494e-06,0,0.0,1.5531644015267494e-06
E0000020820260212134759302356525,0,0.11568409343715239,0,5.645884854101766e-07,5.645884854101766e-07,0,0.0,5.645884854101766e-07
E0000020820260212134801457292525,0,0.8231368186874305,0,5.199517262583872e-06,5.199517262583872e-06,0,0.0,5.199517262583872e-06
E0000020820260212135245682282525,0,0.4872080088987764,0,9.089803912847902e-07,9.089803912847902e-07,0,0.0,9.089803912847902e-07
E0000020820260212135415829137525,0,0.914349276974416,0,4.586768830747388e-06,4.586768830747388e-06,0,0.0,4.586768830747388e-06
E0000020820260212135726395499525,0,0.6918798665183538,0,2.593745635765194e-06,2.593745635765194e-06,0,0.0,2.593745635765194e-06
E0000020820260212135732053467525,0,0.8312940304041527,0,1.215107640458862e-05,1.215107640458862e-05,0,0.0,1.215107640458862e-05
E0000020820260212135806426671525,0,0.8832035595105673,0,1.427058349546135e-06,1.427058349546135e-06,0,0.0,1.427058349546135e-06
E0000020820260212135752721298525,0,0.2139414163885799,0,5.489014517958352e-05,5.489014517958352e-05,0,0.0,5.489014517958352e-05
E0000020820260212135815825760525,0,0.8594734890619207,0,5.129281451442905e-07,5.129281451442905e-07,0,0.0,5.129281451442905e-07
E0000020820260212140020843483525,0,0.47237671486837224,0,2.034327449319868e-06,2.034327449319868e-06,0,0.0,2.034327449319868e-06
E0000020820260212140014087896525,0,0.3793103448275862,0,1.5753771802360018e-06,1.5753771802360018e-06,0,0.0,1.5753771802360018e-06
E0000020820260212140048247445525,0,0.6989247311827957,0,1.672297726229843e-06,1.672297726229843e-06,0,0.0,1.672297726229843e-06
E0000020820260212140048869730525,0,0.8020022246941045,0,4.910436964673957e-07,4.910436964673957e-07,0,0.0,4.910436964673957e-07
E0000020820260212140129193536525,0,0.2328513162773452,0,1.1312097818145146e-06,1.1312097818145146e-06,0,0.0,1.1312097818145146e-06
E0000020820260212140210594657525,0,0.6225435669262143,0,1.1105971347685496e-06,1.1105971347685496e-06,0,0.0,1.1105971347685496e-06
E0000020820260212140746186129525,0,0.7081942899517983,0,1.530410537464524e-06,1.530410537464524e-06,0,0.0,1.530410537464524e-06
E0000020820260212140814133421525,0,0.7434186132740082,0,1.3666543106375842e-06,1.3666543106375842e-06,0,0.0,1.3666543106375842e-06
E0000020820260212141144642803525,0,0.22580645161290322,0,2.8751783743303066e-06,2.8751783743303066e-06,0,0.0,2.8751783743303066e-06
E0000020820260212141157500399525,0,0.6555431961438636,0,4.655117018542066e-06,4.655117018542066e-06,0,0.0,4.655117018542066e-06
E0000020820260212141054786759525,0,0.047460140897293286,0,8.521407809036252e-07,8.521407809036252e-07,0,0.0,8.521407809036252e-07
E0000020820260212141207342803525,0,0.1160548757879125,0,1.7250862247588272e-06,1.7250862247588272e-06,0,0.0,1.7250862247588272e-06
E0000020820260212141238382930542,0,0.027437893956247683,0,1.0221134649181543e-06,1.0221134649181543e-06,0,0.0,1.0221134649181543e-06
E0000020820260212141311321749525,0,0.022988505747126436,0,5.10213665536494e-06,5.10213665536494e-06,0,0.0,5.10213665536494e-06
E0000020820260212141308036261542,0,0.6381164256581386,0,1.8150380561939675e-05,1.8150380561939675e-05,0,0.0,1.8150380561939675e-05
E0000020820260212141321613414525,0,0.7441601779755284,0,0.0001688930611268,0.0001688930611268,0,0.0,0.0001688930611268
E0000020820260212141500165133525,0,0.5446792732665925,0,3.598301174580001e-06,3.598301174580001e-06,0,0.0,3.598301174580001e-06
E0000020820260212141525061832525,0,0.968112717834631,0,3.15267397975602e-06,3.15267397975602e-06,0,0.0,3.15267397975602e-06
E0000020820260212141918201103525,0,0.3878383388950686,0,1.7779348782621635e-06,1.7779348782621635e-06,0,0.0,1.7779348782621635e-06
E0000020820260212141955482210542,0,0.04597701149425287,0,1.3179476622411124e-06,1.3179476622411124e-06,0,0.0,1.3179476622411124e-06
