transaction_id,customer_id,vl_pix,nr_idade,qt_tempo_relacionamento_mes,lgbm_raw,if_percentile,se_score,beh_score,score_final,decisao,veto_suppressed_reason
E0000020820260103172401005155525,73008311172,142.0,40,216,0.04782257,0.477062,0.0,0.0,53.2,APROVAR,
E0000020820260107140624591248525,5720116109,390.0,30,58,0.00370505,0.360036,0.0,0.0,17.44,APROVAR,
E0000020820260123162214303665525,44434707191,50.0,58,456,0.0223179,0.761867,0.0,0.0,41.87,APROVAR,
E0000020820260205003505340630525,4321433355,381.0,34,6,0.06847418,0.446114,0.0,0.0,60.67,APROVAR,
E0000020820260213145228155991525,24746797153,29.9,64,267,4.856e-05,0.708727,0.0,0.0,4.06,APROVAR,
E0000020820260214233339434522525,72148802100,57.88,44,163,0.00417541,0.379739,0.0,0.0,21.34,APROVAR,
E0000020820260224213046993254525,2985493102,188.82,27,41,3.193e-05,0.276744,0.0,0.0,1.75,APROVAR,
E0000020820260227174607667379525,87568039153,498.96,45,317,0.02834015,0.763758,0.0,0.0,44.88,APROVAR,
E0000020820260311113023924649525,93911343434,20000.0,51,7,0.02045083,0.988755,40.0,15.0,42.37,APROVAR,LGBM_GUARD_RAIL: VETO CONFIRMAR SE+BEH_VALOR_NOVO | LGBM=0.0205 < 0.30
E0000020820260316231246610306525,34407499168,300.0,60,243,0.02850356,0.957011,0.0,0.0,46.39,APROVAR,
